-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,21,-1,21,-1,1,2,2,3,-1,21,-1,21,-1,-1
-1,-1,-1,-1,-1,-1,17,18,18,19,-1,-1,-1,-1,-1,-1
-1,-1,1,2,3,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1
-1,-1,17,18,19,-1,49,-1,-1,49,-1,17,18,19,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,2,3,-1,50,52,-1,1,2,3,-1,-1,-1
-1,-1,-1,17,18,19,-1,-1,-1,-1,17,18,19,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
